episode,timestep,episode_reward,episode_length,success,eval_reward,eval_success_rate
0,1,2.2408,1,1,,
1,2,2.2421,1,1,,
2,3,2.244,1,1,,
3,4,2.2428,1,1,,
4,5,2.2402,1,1,,
5,6,2.2385,1,1,,
6,7,2.242,1,1,,
7,8,2.2406,1,1,,
8,9,2.24,1,1,,
9,10,2.2412,1,1,2.2457,1.0000
10,11,2.2423,1,1,,
11,12,2.241,1,1,,
12,13,2.2392,1,1,,
13,14,2.241,1,1,,
14,15,2.2399,1,1,,
15,16,2.2421,1,1,,
16,17,2.2461,1,1,,
17,18,2.237,1,1,,
18,19,2.2384,1,1,,
19,20,2.2415,1,1,2.2464,1.0000
